index,at-flux,gal_num,ned_name,u-r,re,type_m
143,at_flux__yx,K0187,IC2101,1.99,14.255999565,4
154,at_flux__yx,K0204,UGC03995,3.37,17.819999694,4
155,at_flux__yx,K0205,NGC2449,2.87,10.692000389,4
156,at_flux__yx,K0209,UGC04029,2.66,14.255999565,5
162,at_flux__yx,K0232,NGC2486,3.01,12.671999931,4
163,at_flux__yx,K0260,NGC2487,3.2,23.36400032,4
165,at_flux__yx,K0273,UGC04140,2.23,11.484000206,4
174,at_flux__yx,K0306,UGC04210,2.25,8.7119998931,5
177,at_flux__yx,K0310,UGC04233,3.04,9.1079998016,5
179,at_flux__yx,K0312,UGC04240,2.77,9.1079998016,5
185,at_flux__yx,K0353,IC2247,3.16,12.671999931,5
186,at_flux__yx,K0355,UGC04308,3.86,22.572000503,4
197,at_flux__yx,K0475,UGC04386,3.26,15.444000244,5
200,at_flux__yx,K0486,NGC2592,2.67,7.5240001678,4
205,at_flux__yx,K0528,NGC2598,2.41,7.9200000762,5
206,at_flux__yx,K0548,UGC04464,2.19,11.088000297,4
210,at_flux__yx,K0581,UGC04505,2.56,9.1079998016,4
215,at_flux__yx,K0603,NGC2638,2.59,6.7319998741,4
216,at_flux__yx,K0606,UGC04548,2.38,9.1079998016,5
219,at_flux__yx,K0609,UGC04546,2.81,4.3559999465,4
230,at_flux__yx,K0652,UGC04722,3.06,16.631999969,4
232,at_flux__yx,K0657,NGC2735,2.57,6.3359999656,5
240,at_flux__yx,K0679,NGC2769,2.68,9.8999996185,4
245,at_flux__yx,K0707,NGC2783,2.71,15.444000244,4
247,at_flux__yx,K0711,NGC2794,2.42,13.067999839,4
248,at_flux__yx,K0713,NGC2795,3.14,17.027999877,4
254,at_flux__yx,K0749,CGCG151-054,2.95,26.927999496,5
256,at_flux__yx,K0758,NGC2826,2.6,5.1479997634,4
261,at_flux__yx,K0775,UGC04970,2.1,7.9200000762,4
276,at_flux__yx,K0799,NGC2916,2.18,21.780000686,4
279,at_flux__yx,K0805,UGC05111,2.56,9.8999996185,4
290,at_flux__yx,K0817,NGC2955,2.21,13.859999656,4
298,at_flux__yx,K0827,NGC3021,1.72,13.463999748,4
299,at_flux__yx,K0828,UGC05315,1.59,11.880000114,4
307,at_flux__yx,K0836,NGC3075,2.09,15.048000335,4
311,at_flux__yx,K0841,NGC3057,1.97,25.343999862,4
322,at_flux__yx,K0852,NGC3182,2.53,14.652000427,4
331,at_flux__yx,K0862,NGC3251,2.52,13.067999839,4
335,at_flux__yx,K0866,UGC05713,2.5,8.3159999847,4
345,at_flux__yx,K0878,UGC05820,2.75,10.295999527,4
356,at_flux__yx,K0891,NGC3419A,1.57,10.295999527,4
359,at_flux__yx,K0895,NGC3406NED01,2.64,11.880000114,4
368,at_flux__yx,K0905,NGC3488,2.1,17.819999694,5
369,at_flux__yx,K0906,UGC06104,1.54,12.276000022,4
371,at_flux__yx,K0909,UGC06136,1.77,11.484000206,4
383,at_flux__yx,K0926,IC0677,1.84,10.295999527,4
386,at_flux__yx,K0930,NGC3615,2.89,10.692000389,4
390,at_flux__yx,K0935,NGC3619,2.88,20.591999054,4
392,at_flux__yx,K0937,NGC3625,1.85,12.671999931,5
393,at_flux__yx,K1000,NGC3629,1.66,27.719999313,5
395,at_flux__yx,K1007,CGCG126-035,2.58,6.3359999656,5
396,at_flux__yx,K1009,UGC06380,2.19,8.7119998931,5
397,at_flux__yx,K1010,UGC06383,1.7,12.671999931,5
398,at_flux__yx,K1011,NGC3649,2.3,5.9400000572,5
399,at_flux__yx,K1013,NGC3642,2.12,20.591999054,4
400,at_flux__yx,K1015,IC2763,1.55,12.671999931,5
401,at_flux__yx,K1016,NGC3648,2.7,7.9200000762,5
403,at_flux__yx,K1024,NGC3652,1.39,17.423999786,5
404,at_flux__yx,K1075,UGC06397,2.85,7.9200000762,5
405,at_flux__yx,K1076,NGC3656,2.52,17.027999877,4
406,at_flux__yx,K1080,UGC06414,2.67,6.7319998741,5
407,at_flux__yx,K2014,NGC3668,2.37,15.840000152,5
409,at_flux__yx,K2052,NGC3674,2.6,5.9400000572,5
412,at_flux__yx,K2752,NGC3682,2.1,12.276000022,4
421,at_flux__yx,K2999,UGC06545,2.07,11.484000206,5
428,at_flux__yx,K3022,NGC3786,4.94,17.423999786,4
429,at_flux__yx,K3027,NGC3800,2.29,13.067999839,5
432,at_flux__yx,K3034,NGC3805,2.81,11.880000114,4
436,at_flux__yx,K4027,NGC3815,2.04,10.295999527,4
