,Pop,R_med,std_R,I1,I2,I3,I4,I5,I6,I7,a,b,f=a+b/2,tetha,Excent,flong,sym,Conc
3,4,0.605608053552,0.251737051323,0.548253288919,0.0340673677477,0.0743135022145,0.0318215737875,-0.000604028172031,-0.000272815972352,0.000120203495214,30.0473388738,21.16727499,25.6073069319,-0.130818084717,0.295535785086,1.40137148297,0.75974025974,0.423903902169
0,1,0.767142718045,0.177879704966,0.789247138626,0.0200340676987,0.0338312827037,0.564520679801,-0.0175609246597,0.0304739856157,-0.0147963158261,32.8306797967,27.3869099597,30.1087948782,0.741041300452,0.165813497336,0.98423539213,0.6597582038,0.197272118575
1,2,0.63588050248,0.181031699431,0.556283390158,0.0520876747859,0.0505253365239,0.244938270228,0.000461755480827,0.0158125962645,4.61060872039e-05,30.1407251747,19.490741842,24.8157335083,-0.627550396782,0.353341974056,0.879786602995,0.946459412781,0.261492138796
2,3,0.688533875883,0.283490745511,0.707958753969,0.269047509169,0.231283448234,0.0162651253194,-0.0020386117943,-0.00900315481105,-0.000759725859106,37.6239521598,14.7786003408,26.2012762503,-0.517481496832,0.607202340732,1.48163389506,0.94280762565,0.429617918365
3,4,0.640428215575,0.334783356239,0.665587097856,0.121013715054,0.0529480084317,0.776032905467,0.0373784163672,0.106857803546,0.0116156251816,34.2280104758,19.1645680648,26.6962892703,-0.571929887711,0.440091089186,1.24595098302,0.439446366782,0.597367064159
0,1,0.781816109998,0.250564657079,0.855672243978,0.251417890391,0.0875558468826,1.4002156309,0.148459412798,0.328304605003,-0.0411078025372,29.3787006256,15.010231307,22.1944659663,-0.234959292337,0.489077767655,1.78556381609,0.0,0.296960855599
1,2,0.891069458526,0.242195363139,1.08595965728,0.714101486694,0.355287373731,0.676440016675,0.0273413557054,0.0664693975117,0.0141902931489,34.9893857587,12.3587915937,23.6740886762,-0.331623101014,0.646784551208,2.04216196014,0.876971608833,0.230364675508
2,3,0.621834699082,0.278868319298,0.591338355442,0.0409897272174,0.109838798942,0.493592550959,0.0134866012887,0.0213875692964,-0.01615031813,22.433627648,15.7018911361,19.0677593921,-0.740239546392,0.300073470841,1.03137217073,0.813880126183,0.363561255757
3,4,0.682484975059,0.416026405893,0.815714629066,0.456029633321,0.418202887615,2.92748210152,0.526368646117,0.584066212681,0.0188177558276,30.6972479527,9.42031099636,20.0587794745,-0.73615850405,0.693121969407,1.08499579104,0.354430379747,0.751420651102
0,1,0.825140625852,0.138246871876,0.891446424472,0.16339486793,0.255234898868,0.334065971419,-0.0173526813084,-0.0188095317467,-0.00660794482544,52.3110911417,32.0783328827,42.1947120122,0.164793422884,0.3867775995,1.5820433782,0.795454545455,0.14285826767
1,2,0.75456002553,0.17269904526,0.763077328685,0.0514205703259,0.00384706982148,0.0902299632298,0.000325223950361,0.00690018589685,0.00020706753008,45.7224085063,33.6556086967,39.6890086015,-0.545810087793,0.263914351929,1.14783225876,0.905303030303,0.229072682969
2,3,0.697783632323,0.183274821448,0.664106917175,0.112325083933,0.0394769212427,0.0166378248611,-0.000206702960941,0.000411206980346,-0.000415642262403,45.8958843707,26.3332975649,36.1145909678,-0.0900480655319,0.426238366993,0.580044914285,0.519924098672,0.265217990171
3,4,0.395008104014,0.192022536955,0.245867792727,0.0121613544559,0.0123529574968,0.0350177638903,0.000105225440592,0.00144205514298,3.83932713098e-05,27.4129302265,16.9142940055,22.163612116,0.261680009763,0.382981174733,0.663636735626,0.999052132701,0.500370000053
0,1,0.855209161832,0.372840656184,1.10583916761,0.599657020015,0.952638095287,2.19301109718,1.75853760911,1.2943638776,0.630130199038,40.537728064,17.0205601669,28.7791441155,0.00300241862193,0.580130387672,2.38163277077,0.517162471396,0.458145365937
1,2,0.549354291839,0.185986386772,0.428409856073,0.00994501504703,0.0160656686802,0.126173409771,-0.000310073621567,0.00285750022512,0.000751062647277,21.4600402993,16.9296621155,19.1948512074,0.672965443185,0.211107627042,1.0533236695,0.56880733945,0.305077305911
2,3,0.741636775107,0.326759728776,0.836372148809,0.484623313912,0.13999152134,0.691150991826,0.0423813742892,0.179619169804,0.0230536412066,36.5562357051,11.0577872377,23.8070114714,0.353832835507,0.697512968051,2.10758520322,0.697247706422,0.468597933452
3,4,0.992745183992,0.429433803167,1.49327520148,1.97116050977,3.93227929517,7.56534523299,14.979788546,6.04670115785,-1.03530318144,50.2056992052,8.81400124194,29.5098502236,0.265986275129,0.824442217089,3.0889324128,0.0413793103448,0.461145049025
