,Pop,Raio_medio,std_R,tm,tm_std,tp,tp_std,I1,I2,I3,I4,I5,I6,I7,a,b,f=a+b/2,tetha,Excent,flong,sym,Conc
K0109,1,0.709586221659,0.215947865308,9.14208972159,0.160010003535,8.96839511778,0.11476894351,0.700129695002,0.242420331518,0.0817446863309,0.0292935563832,-1.29065829494e-05,0.0016585984604,5.90437835862e-05,37.5436435959,15.6710377616,26.6073406788,0.610190956595,0.582591451957,1.27925218444,0.93062605753,0.280280319391
K0109,2,0.89939729175,0.201988910942,9.14208972159,0.160010003535,9.10235434223,0.0197253104424,1.08143586396,0.651275556969,0.153151009807,0.588881600916,0.00166227389308,0.116830978495,0.0165722095002,47.2456414898,18.0101011273,32.6278713086,-0.332694201977,0.618798675193,0.510094605847,0.957698815567,0.162671316331
K0109,3,0.636264693758,0.219241900552,9.14208972159,0.160010003535,9.14982935733,0.0264480308144,0.578307453282,0.0233869369503,0.0191248096525,0.103966971811,-0.000235976317126,-0.000565392401897,-0.00111715385099,29.3495353355,22.3851990279,25.8673671817,0.755646694457,0.23728949123,0.984396027002,0.699490662139,0.314654160937
K0109,4,0.527600365558,0.269712820265,9.14208972159,0.160010003535,9.34800092901,0.118093039359,0.447492099971,0.0302803053239,0.0374188743933,0.229104811868,0.00444118959876,0.0158376589078,-0.00383620639062,27.0809024214,17.9640218207,22.522462121,0.210347537246,0.336653500644,0.689974008356,0.908474576271,0.565961066169
K0110,1,0.795045254719,0.311089231691,9.18669871919,0.373320711467,8.72680800894,0.33633720291,0.924825174825,0.407868466173,0.802968719415,3.76053590418,0.34047450989,0.63617391459,0.347973717797,29.9049394135,12.7943190001,21.3496292068,-0.708494974311,0.572167031567,0.899252528815,0.664335664336,0.336471205696
K0110,2,0.863122876131,0.410216471949,9.18669871919,0.373320711467,9.116955647,0.0596043535571,1.16263465682,0.738044827241,2.04571440861,8.57698655084,2.84537190635,1.87013971173,0.233901755744,33.9468129013,13.1536079694,23.5502104354,-0.785018398495,0.612523036914,0.999438924809,0.849122807018,0.495554441854
K0110,3,0.985642477776,0.418046702349,9.18669871919,0.373320711467,9.29614611881,0.0368700651008,1.45941520468,1.63748914491,2.57953674333,13.9120045203,7.58187143284,4.8813994921,-1.57276752705,39.5128312184,10.1227220865,24.8177766524,0.730975303689,0.743811775205,1.10025214317,0.224561403509,0.464350893418
K0110,4,0.58184422066,0.344423936721,9.18669871919,0.373320711467,9.609983965,0.177657544321,0.583899523904,0.231709620353,0.0715523080835,0.759423467917,0.000965189045551,0.126183524477,-0.00768843839145,24.5981440419,7.63159019125,16.1148671166,-0.607679905774,0.689749349453,0.744403488799,0.929577464789,0.69314718056
K0115,1,0.593471017285,0.181918612897,9.2973971181,0.389667956352,8.8487667247,0.274462145562,0.490295420104,0.00208432952908,0.0165905662354,0.0879970685358,-0.000313170648531,-0.00111853895593,1.94197910439e-05,23.9918771465,21.852789144,22.9223331452,-0.281739251839,0.089158842778,0.924147228461,0.599627560521,0.275982862536
K0115,2,0.624224084243,0.23140282107,9.2973971181,0.389667956352,9.14616728764,0.0424507885477,0.563937177713,0.0723882965066,0.00666831418776,0.0482435317686,2.74332176688e-05,0.00104738014983,-0.000137407720745,29.9103496346,17.7962929416,23.8533212881,0.453152662266,0.405012206177,0.738479345191,0.752327746741,0.310428283077
