#num, CALIFA_ID,ned_name,ra,dec,Mr,u-r,objID,fiberMag_r,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroRad_r,petroR50_r,petroR90_r,z,re
63,K0064,NGC0693,27.63021027,6.14452518,-18.72,2.72,587741506458746931,17.01707649,15.49816322,13.48515129,12.65398979,12.26950836,11.99180317,26.10859871,11.7518568,28.93047142,0.00523,15.444000244
64,K0065,NGC0716,28.24866765,12.70847224,-21.06,2.25,587724197209636898,16.33429146,15.32875443,13.73014545,12.94591808,12.54445744,12.30120754,20.47108078,9.372455597,24.91409302,0.015321,9.50399971
65,K0066,UGC01368,28.55473369,7.88365002,-21.51,2.54,587741508606558313,16.81629372,16.51460075,14.62254906,13.83717537,13.39904785,13.13637924,23.08927536,9.618213654,24.56107712,0.026772,9.8999996185
66,K0067,NGC0731,28.73420673,-9.01081262,-21.36,2.64,587727179535614004,14.93264198,14.85230064,12.93463898,12.15592384,11.76087952,11.53527451,20.85880089,8.586971283,25.94836807,0.013095,10.295999527
67,K0068,NGC0741,29.08744271,5.62897444,-22.6,2.93,587741505922531353,15.33310223,14.92197609,12.78741646,11.86959553,11.40416908,11.16488457,32.41241455,13.51773357,37.78882217,0.01856,21.780000686
68,K0069,NGC0755,29.09441581,-9.06138611,-18.78,1.72,587727179535745084,17.4995842,14.43954754,13.15716839,12.66826153,12.46445942,12.5357542,37.28530121,16.46859741,35.59752274,0.00547,19.403999328
69,K0070,IC1755,29.29077815,14.5498864,-21.53,2.85,587724233719546027,16.41122246,16.72310638,14.61748123,13.75431061,13.31186867,13.02719498,19.60606003,7.772536278,23.12167549,0.026414599,7.9200000762
70,K0071,NGC0768,29.67056631,0.52921197,-21.47,2.09,588015509819228215,16.71905708,15.65678692,14.09096336,13.48991203,13.17245579,13.16182518,22.84409332,11.15745068,28.29315186,0.0233359,11.484000206
71,K0072,NGC0774,29.89470232,14.00820403,-21.12,2.65,587724233183002650,15.86131954,15.74522686,13.8253994,12.94585991,12.48048878,12.21139526,19.77710342,8.625574112,25.93852425,0.0153705,10.692000389
72,K0073,NGC0776,29.97718747,23.64427608,-21.46,2.67,587740558881652889,15.95117569,15.75182152,13.75097847,12.85316944,12.49778557,12.45687866,39.50400543,14.96770382,31.36045265,0.016401,17.027999877
73,K0074,NGC0781,30.03734629,12.65610678,-20.45,2.39,587724231572521002,15.0262022,15.507761,13.74700928,12.96062756,12.55179977,12.28222561,12.75232029,5.326892376,18.00588417,0.011631,5.5440001487
74,K0075,NGC0787,30.20257311,-9.00257628,-21.58,2.67,587727179536269325,15.39867783,15.19465065,13.2090168,12.45611954,12.07162857,11.90691376,28.7492733,12.38728046,32.31652451,0.0158647,15.048000335
75,K0076,NGC0810,31.36900995,13.25163003,-22.17,2.81,587724198284689493,16.16539383,16.24337769,14.17788029,13.18552208,12.66907024,12.34466934,21.34951782,9.227931976,27.53473663,0.025654,14.652000427
76,K0077,NGC0825,32.13470469,6.32366647,-20.25,2.55,587741506997583879,15.51946068,15.76324463,13.94641399,13.08299351,12.62055969,12.28984165,14.0788908,6.159764767,19.60159492,0.011321,7.9200000762
77,K0078,NGC0833,32.33684827,-10.13309383,-20.95,2.83,587727177926508588,15.25416756,15.5040741,13.46552181,12.6094799,12.18013763,11.9318819,19.40828896,8.024002075,22.28511429,0.0128195,9.50399971
78,K0079,IC0210,32.3678669,-9.68031506,-19.21,3.1,587727178463445085,17.26099586,15.83569145,13.46668053,12.68307972,12.27056599,12.0942564,38.01730347,16.82008553,38.39705276,0.006448,15.444000244
79,K0080,NGC0842,32.46161885,-7.76247694,-21.06,2.6,587727781890162767,14.85621643,15.15033817,13.26960373,12.49090767,12.09427834,11.86500263,20.1339817,7.851101875,26.68968582,0.012649,8.7119998931
80,K0081,UGC01659,32.48708515,16.0325858,-21.6,2.5,758882026234249428,17.99948502,16.49479485,14.50156784,13.83228874,13.46804523,13.37501717,28.01790619,13.50389004,29.04558754,0.027379,13.463999748
81,K0082,KUG0210-078,33.31582205,-7.66188424,-20.5,2.29,587727781890555911,15.62068272,15.91110897,14.36962223,13.55910778,13.16779232,12.92198372,14.12502003,5.683315277,19.16962051,0.0159442,13.067999839
82,K0083,UGC01749,34.06008949,18.31103997,-21.27,2.52,758882025698558108,16.554142,17.08724213,15.19796467,14.26405048,13.78503895,13.51668072,21.38188171,8.050815582,24.87867928,0.026849,6.7319998741
83,K0084,NGC0873,34.13488021,-11.34847935,-21.34,1.74,587747979515396156,16.1039753,14.1725893,12.88675499,12.34888935,12.0979557,12.01728249,29.17995071,13.71256065,29.93685532,0.013386,13.859999656
84,K0085,NGC0924,36.69508479,20.49749396,-21.55,2.56,587740552446541919,15.16105652,15.72236443,13.66142464,12.7493391,12.27779961,11.99093151,20.7463913,8.308697701,26.43294334,0.014954,9.8999996185
85,K0086,UGC01918,36.88532344,25.66876596,-20.72,3.1,758882026775707719,16.65955544,17.05726814,14.54728603,13.70401001,13.29959488,12.93391228,22.57061958,9.576453209,24.20455742,0.016962,13.463999748
86,K0087,NGC0932,36.9779061,20.33249452,-21.51,2.8,587740552446672997,15.31190491,15.63218784,13.47073841,12.49616432,12.00388336,11.7757349,33.58555984,10.80211926,34.52066803,0.013646,15.840000152
87,K0088,UGC01938,37.09223666,23.2146257,-20.77,2.26,758882025164177650,17.35186577,16.86983109,15.02915859,14.27548504,13.87744331,13.60320759,21.0093174,9.05119133,22.69027328,0.021318,8.7119998931
88,K0089,NGC0941,37.11618312,-1.15145916,-18.56,1.83,588015507675021334,17.4241848,14.82560444,13.42149448,12.91126251,12.72541046,12.89836216,40.28720856,18.00511932,39.96317291,0.005347,23.36400032
89,K0090,NGC0938,37.13966158,20.28369627,-21.31,2.56,587740552446738497,15.0631361,15.48418713,13.55368423,12.65153694,12.18683624,11.9543581,21.76070023,8.501571655,27.38536644,0.013653,10.692000389
90,K0091,NGC0955,37.63811429,-1.10841148,-19.18,2.81,588015507675217979,14.89573669,14.99974632,13.02203369,12.10262299,11.59286499,11.30870628,22.15390396,9.185012817,28.53429413,0.005074,11.880000114
91,K0092,NGC0962,38.16593843,28.07000918,-21.64,2.81,758882026776887364,15.37623596,15.56956387,13.4320755,12.53791904,12.07209206,11.82374573,24.32823944,9.63265419,29.41637421,0.015464,11.484000206
92,K0093,UGC02018,38.16738322,0.26007343,-21.47,2.58,587731513151127592,15.63812542,15.83229446,13.96809196,13.18327427,12.79200459,12.58613682,19.90821838,8.116398811,23.99373436,0.0205737,7.9200000762
93,K0094,NGC0976,38.50011214,20.97674548,-21.73,2.29,587740553520939172,15.34512138,14.86593723,13.07877064,12.31614685,11.89894104,11.69393444,22.57235146,9.723358154,26.61053467,0.014441,10.692000389
94,K0095,NGC0991,38.88618613,-7.15442798,-18.4,2.63,587724242836062221,18.03800964,15.64673901,13.50870991,12.95047188,12.765872,13.33738613,46.79875946,22.7504425,44.94772339,0.00510439,31.680000305
95,K0096,UGC02099,39.30410898,21.56758586,-21.89,2.5,587740554594943101,16.3497448,16.60966873,14.70680332,13.75654602,13.23708344,12.99807358,21.12731361,8.776342392,28.25063896,0.027446,13.067999839
96,K0097,UGC02134,39.71586292,27.84728606,-21.08,2.79,758882025166471449,17.09679222,16.49813843,14.2102108,13.29839993,12.80456448,12.60276318,38.13279724,14.32389736,31.74973869,0.015297,17.423999786
97,K0098,NGC1026,39.82997429,6.54404339,-21.33,2.78,587744294971506786,15.23140907,15.57635689,13.4388752,12.59506512,12.12129784,11.88981342,22.85930252,9.56803894,29.41791153,0.01395,14.255999565
98,K0099,NGC1041,40.10513965,-5.44045275,-21.99,2.58,587747980055937033,15.58012486,15.64998627,13.76136017,12.9960928,12.60031033,12.38936806,19.79850578,8.472244263,25.73485374,0.02354,12.671999931
99,K0100,NGC1056,40.70130165,28.57415675,-19.17,2.49,758882024630059033,15.35231495,15.40623093,13.52309608,12.55293274,12.06631279,11.71877384,21.93138695,8.41984272,26.6887722,0.005167,11.484000206
100,K0101,NGC1060,40.81279436,32.42491651,-22.85,3.05,758882026779050059,15.20733452,15.40526581,12.95301819,11.88908291,11.31362343,10.97277164,30.43334389,11.96625805,36.19940567,0.017255,19.00799942
101,K0102,NGC1070,40.84278666,4.96834307,-21.89,2.47,587741505927643212,15.476367,14.50701237,12.72421837,11.9011879,11.49718571,11.28982639,33.17798615,13.5758791,39.53490448,0.013673,18.215999603
102,K0103,UGC02222,41.29031751,32.98970442,-21.08,2.68,758881524269449240,15.62519932,16.42865181,14.35590935,13.42721272,12.93136024,12.62443638,14.16751003,5.818085194,18.05035973,0.016618,6.7319998741
103,K0104,UGC02229,41.36486246,0.91434919,-21.51,2.65,588015510361210935,16.33415031,16.30324745,14.40322876,13.57018566,13.10929203,12.83379459,19.30460358,7.990062237,25.4229393,0.024397699,11.088000297
104,K0105,UGC02239,41.64868318,32.44938558,-20.06,2.25,758881523732382015,17.81194878,17.11039543,15.38237667,14.44455528,13.89315128,13.59052467,20.96636963,9.38021946,24.34877968,0.016088,9.1079998016
105,K0106,MCG-01-08-008,41.77822484,-2.97255303,-21.26,2.31,587750952708145279,16.71347809,16.319561,14.70795345,13.9125433,13.48440742,13.22084141,20.46012306,8.660787582,23.61442757,0.025311,7.9200000762
106,K0107,NGC1094,41.86596966,-0.28513221,-21.73,2.01,588015508750794869,15.88429451,15.18315983,13.72918224,13.08072662,12.7301836,12.62333965,18.04121399,8.22741127,23.42397118,0.0214657,9.1079998016
107,K0108,NGC1093,42.067226,34.41982057,-21.21,2.49,758882026780033084,16.5633564,15.98065376,13.98713493,13.28452778,12.91388893,12.77023697,23.95802307,10.08435822,26.34156036,0.017699,11.088000297
108,K0109,UGC02311,42.36645529,-0.87299111,-21.85,2.09,587731511542349882,16.13519669,15.4445076,13.90215874,13.22363949,12.89828682,12.76694012,23.03962326,10.76029873,28.18191338,0.0238089,11.484000206
109,K0110,UGC02319,42.4733327,-1.00363108,-20.65,2.25,587731511542415463,17.885746,16.87261581,15.19473457,14.44404125,14.02755737,13.7755003,22.21568871,9.807553291,23.05002213,0.023373401,8.3159999847
110,K0111,MCG-02-08-014,43.09748189,-8.5104154,-20.24,2.66,587724240690348127,16.43187714,16.8258152,14.93248749,14.03814411,13.54760456,13.18949032,11.7888937,5.615712643,17.26007652,0.0167912,6.3359999656
111,K0112,NGC1132,43.21598903,-1.27476213,-22.4,2.71,587747981131907104,15.91103554,15.50875282,13.49705696,12.64093208,12.18381882,11.97180557,29.63449287,12.29041195,37.00527573,0.023189,21.384000778
112,K0113,UGC02367,43.42173693,6.26557458,-22.13,2.76,587744294973079684,16.5663929,16.76618385,14.52417088,13.47465897,12.88321114,12.61052418,27.66387749,11.44062042,33.09909821,0.024627,14.255999565
113,K0114,NGC1142,43.80093721,-0.18356256,-22.0,2.41,587731512616747013,16.03808403,16.14126778,14.4006176,13.56079292,13.08654213,12.75262356,14.17958832,6.893768311,18.47877312,0.028847,12.671999931
114,K0115,UGC02403,43.98857117,0.6926051,-20.54,2.63,587731513690554498,16.92495346,16.22676849,14.27361298,13.38415718,12.90311146,12.62063599,26.62579727,12.19963169,24.9161129,0.0137043,13.067999839
115,K0116,UGC02405,43.98989659,6.49478292,-21.52,2.4,587744295510212761,17.65467072,16.87422371,14.70698452,14.05632401,13.68541241,13.53768921,25.34109688,11.87035847,26.22977829,0.025694,11.484000206
116,K0117,UGC02443,44.58959475,-2.0418785,-19.13,2.28,587750951098712120,18.28299904,16.14296913,14.24136162,13.64179802,13.38389492,13.34975338,29.18565369,14.60146332,28.26299858,0.008389,15.048000335
117,K0118,UGC02465,45.15593793,35.16914599,-21.3,2.86,758881522123473059,16.06068993,16.5723114,14.34778309,13.31418514,12.79328632,12.50652885,23.54684067,8.550435066,24.21649551,0.016952,6.7319998741
118,K0119,NGC1167,45.42640222,35.20561612,-22.29,3.34,758882024096530698,15.60765553,16.08082581,13.37296104,12.30794621,11.79861546,11.54195786,34.80293274,13.62086201,37.52225876,0.016448,21.780000686
119,K0120,NGC1194,45.95462151,-1.10374253,-20.87,3.14,588015507678887987,16.00487328,16.30971909,13.95529938,12.98888874,12.53549862,12.24983883,24.04061508,10.16326237,28.29100418,0.0135509,15.048000335
120,K0121,NGC1211,46.71842448,-0.79449236,-20.89,2.83,588015508216086589,15.20715141,15.41560173,13.2535038,12.41956139,11.97034073,11.71342087,19.69259834,7.853659153,25.41885376,0.0107463,11.484000206
121,K0122,MCG-01-09-006,47.20134761,-7.04061036,-21.67,2.38,587724241765924957,17.0202198,16.47467422,14.62366295,13.91952324,13.54289913,13.54664803,25.88528442,10.21742058,26.35024261,0.0289199,9.50399971
122,K0123,IC0307,48.43840099,-0.24145863,-22.03,2.49,588015508753678429,15.85324383,16.08658409,14.25720978,13.36956882,12.90392113,12.80542088,24.22802353,9.46967411,27.50616837,0.026066501,9.50399971
123,K0124,UGC02628,49.1326712,-0.46814214,-20.94,2.24,587731512082169967,17.61795616,16.49376488,14.76557255,14.08670807,13.68010235,13.47660542,25.47716522,10.79660034,27.98269272,0.0227331,9.8999996185
124,K0125,UGC02690,50.17892959,-1.10863697,-20.79,1.71,588015507680723132,17.68935013,15.94538116,14.56376553,14.06052876,13.88368607,13.88104343,22.60321236,10.52564716,25.01401711,0.020965,11.484000206
125,K0126,NGC1324,51.25701695,-5.74579579,-22.07,4.02,587724242841501700,15.94373226,16.60521126,13.27699661,12.47482681,12.03505802,11.83417797,37.38391876,15.5050993,41.83483124,0.018915599,17.423999786
126,K0127,NGC1349,52.86463333,4.38090038,-22.15,2.75,587741506469756977,16.17403793,16.49453735,14.21979332,13.21541214,12.64282322,12.37287903,28.65779305,11.66427898,30.23185158,0.021995,15.444000244
127,K0128,NGC1361,53.57392544,-6.26499668,-21.02,2.76,587724241768677443,15.87126827,16.20219231,14.161726,13.34986687,12.92515278,12.67413902,19.56620598,8.300671577,25.40029335,0.0175553,13.067999839
128,K0129,MCG-01-10-015,54.66318098,-5.34734837,-19.87,2.36,587724242842943675,17.9186554,16.46666336,14.61844254,13.98629665,13.64043999,13.51420498,26.09807968,11.87607384,25.44969368,0.0137662,12.671999931
