x,y,age,mass,raio
52.0,18.0,8.6417459387,226.233454191,19.4164878389
51.0,20.0,8.64226981461,343.560548396,17.4928556845
24.0,29.0,8.65063665275,365.666484594,12.0
38.0,44.0,8.65305807076,187.089940782,15.1327459504
38.0,45.0,8.65320281234,149.893784859,16.1245154966
47.0,35.0,8.6548460447,416.887827882,12.5299640861
44.0,39.0,8.65761054692,428.75133542,12.8062484749
42.0,39.0,8.66180861621,281.852467628,11.6619037897
46.0,35.0,8.66348273326,377.29173949,11.6619037897
23.0,37.0,8.66687741298,466.3610267,15.2643375225
37.0,19.0,8.66718791473,180.989545208,10.0498756211
40.0,13.0,8.67362628572,137.365523346,16.4924225025
36.0,5.0,8.67489478194,28.059841033,24.0
35.0,8.0,8.67489478194,55.7580915973,21.0237960416
37.0,6.0,8.67489478194,50.7013078366,23.0217288664
36.0,6.0,8.67489478194,35.0537658775,23.0
33.0,8.0,8.67489478194,36.9788231855,21.2132034356
32.0,8.0,8.67489478194,29.8369333996,21.3775583264
31.0,8.0,8.67489478194,29.9467847735,21.5870331449
35.0,6.0,8.67489478194,27.9112151627,23.0217288664
34.0,6.0,8.67489478194,24.0144925877,23.0867927612
31.0,7.0,8.67489478194,20.9352954351,22.5610283454
35.0,5.0,8.67489478194,24.1872901664,24.0208242989
32.0,7.0,8.67489478194,20.5605425047,22.360679775
33.0,7.0,8.67489478194,26.801947819,22.2036033112
34.0,7.0,8.67489478194,36.3060557444,22.0907220344
35.0,7.0,8.67489478194,44.8833833723,22.0227155455
36.0,7.0,8.67489478194,55.8356904715,22.0
37.0,7.0,8.67489478194,75.1922948398,22.0227155455
36.0,4.0,8.67489478194,16.9759508845,25.0
33.0,6.0,8.67489478194,12.2552796142,23.1948270095
36.0,8.0,8.67489478194,78.6622797233,21.0
38.0,10.0,8.67489478194,165.296210153,19.1049731745
34.0,8.0,8.67489478194,45.2045491006,21.0950231097
34.0,9.0,8.67489478194,56.3526782142,20.0997512422
35.0,9.0,8.67489478194,72.1121333129,20.0249843945
36.0,9.0,8.67489478194,104.167376933,20.0
37.0,9.0,8.67489478194,123.313913983,20.0249843945
38.0,9.0,8.67489478194,137.933254232,20.0997512422
33.0,9.0,8.67489478194,45.2080532709,20.2237484162
37.0,8.0,8.67489478194,100.050720909,21.0237960416
34.0,10.0,8.67489478194,67.1691290886,19.1049731745
35.0,10.0,8.67489478194,88.376987036,19.0262975904
36.0,10.0,8.67489478194,127.633329697,19.0
37.0,10.0,8.67489478194,154.400959094,19.0262975904
38.0,8.0,8.67489478194,115.598362839,21.0950231097
32.0,9.0,8.67489478194,39.2531959742,20.3960780544
25.0,27.0,8.67532549552,324.010570861,11.1803398875
24.0,39.0,8.67577142764,555.447061285,15.6204993518
27.0,24.0,8.67980860663,235.300114319,10.295630141
43.0,38.0,8.68637182388,292.35652092,11.401754251
51.0,7.0,8.6897198995,104.755623907,26.6270539114
30.0,20.0,8.69229423778,176.744857695,10.8166538264
25.0,43.0,8.69236310239,359.03155042,17.8044938148
24.0,30.0,8.69504597548,413.225520185,12.0415945788
33.0,21.0,8.69696125671,225.33897267,8.54400374532
49.0,37.0,8.69748166977,141.634061104,15.2643375225
26.0,30.0,8.69948459749,312.631881508,10.0498756211
24.0,38.0,8.70079847046,609.374836018,15.0
49.0,36.0,8.70133311068,274.820249299,14.7648230602
