,#Populacao,Conc,Exc,I1,I2,I3,I4,I5,I6,I7,M_p,M_t,Rm/re,Sim,a,b,f=a+b/2,flong,obj,std,tetha,tm,tm_std,tp,tp_std
K0144,3,0.45780030032,0.671361589615,0.934418148515,0.565883569928,0.399641600924,2.70444321672,0.376053190865,0.601572353373,0.293515576187,71224.7158618,305505.030021,0.780459012773,0.997722095672,38.4824204185,12.6468014741,25.5646109463,0.935108988168,,0.349546140065,0.743742769069,8.89062732156,0.343401634105,9.02391858661,0.0660181358689
K0144,4,0.509980195879,0.627603477416,0.994969008264,0.566430010331,1.33021531369,3.01495823433,1.74876355657,0.963445299283,-0.086381388787,121358.995396,305505.030021,0.791017346149,0.390909090909,39.2157407198,14.6038054746,26.9097730972,1.82850006243,,0.393455861185,-0.388321657774,8.89062732156,0.343401634105,9.32079091502,0.100000867293
K0150,1,0.138266982241,0.812782262999,2.20908144211,4.24140339227,0.564983780685,0.0763037266606,-0.000496808519292,-0.0100761743986,1.52448851708e-05,1500.07705941,39135.3130834,1.28955269476,0.754237288136,44.8860196264,8.40345901742,26.6447393219,0.980321512204,,0.277556811031,-0.77473949465,8.19500683374,0.347994867518,7.75118335823,0.0918327715237
K0150,2,0.411423915114,0.643891302667,0.974142145767,0.569842422732,1.13767695284,5.09966859916,0.804852978202,0.987223660228,0.520050542437,4445.32479364,39135.3130834,0.796720976944,0.621276595745,28.5068408505,10.1515339603,19.3291874054,0.935894171811,,0.360106145658,-0.742660197968,8.19500683374,0.347994867518,8.05035161256,0.153644593635
K0150,3,0.305943857906,0.347348180059,0.603313716614,0.0589885760155,0.0400603697154,0.252602521629,0.000712852742549,0.0200257307035,0.00219679071304,8590.60631995,39135.3130834,0.647454395432,0.8,19.9426426818,13.0156020407,16.4791223613,0.982563894847,,0.2326609612,-0.763546414641,8.19500683374,0.347994867518,8.36757749785,0.0585840007927
K0150,4,0.585451451537,0.605309078651,0.487931190584,0.127021267169,0.075112457718,0.310606175729,0.00975936850684,0.0417878008014,-0.00595517246019,24599.3049104,39135.3130834,0.544884937846,0.63829787234,19.9207394971,7.86253502607,13.8916372616,1.24819976689,,0.293403595218,0.63376175103,8.19500683374,0.347994867518,8.61280347686,0.16148823002
K0157,1,0.310317147267,0.741986248808,1.14572492603,1.00541090841,0.213773159969,0.042640614173,0.00326656314199,0.0307979402039,-0.0052906033027,35426.6648571,392742.319023,0.900023695162,0.828282828283,41.2498966113,10.643040561,25.9464685862,0.311289291856,,0.303084695457,-0.172973340169,9.04705188133,0.290998069596,8.69568505023,0.142047141772
K0157,2,0.437396136044,0.493112897479,0.895382150296,0.280185529658,0.55472464001,2.28958824217,-0.0366516241077,0.310435726288,-0.124532364558,30188.8957415,392742.319023,0.765637968562,0.911392405063,33.5487567146,17.0054320842,25.2770943994,0.920833587837,,0.342008208507,-0.715572952653,9.04705188133,0.290998069596,8.97925309943,0.0355849678601
K0157,3,0.269092534984,0.612323593979,1.00276237782,0.54867795172,0.0876557738015,0.0619802328499,0.000373538093176,0.0056845645421,-0.00293794408086,52073.5774965,392742.319023,0.850338909626,0.769620253165,37.112765846,14.3877436807,25.7502547633,0.810861140321,,0.253485455085,-0.643637127801,9.04705188133,0.290998069596,9.07988754746,0.0481272474647
K0157,4,0.771445974026,0.727916772874,0.590243242547,0.25895500479,0.128660487503,0.518496135163,-0.000723644854259,0.0737018007596,-0.00012353752275,275053.180927,392742.319023,0.551977138986,0.868020304569,29.4296811834,8.00732262967,18.7185019065,0.656625884926,,0.397353626109,-0.545823831778,9.04705188133,0.290998069596,9.43525415505,0.187528132612
