obj,#Populacao,Rm/re,std,tm,tm_std,tp,tp_std,M_t,M_p,I1,I2,I3,I4,I5,I6,I7,a,b,f=a+b/2,tetha,Exc,flong,Sim,Conc
K0857,4,0.843468385512,0.4079313055,9.45545479775,0.249797317581,9.75881995072,0.0546496239676,430881.423422,148320.285212,1.12039261071,0.905204121087,0.107300543064,0.0957521912129,-0.000758444354873,-0.00955155729709,0.000250403714018,42.11262805,12.0265833992,27.0696057246,0.732749165579,0.714418597078,1.09361706645,0.705607476636,0.581968103177
K0861,1,0.724050324262,0.241671030961,9.11324845545,0.254562163639,8.85826230941,0.0787564534338,437922.166865,15413.3405448,0.741746424536,0.0793744205957,0.290022196307,0.558936869162,-0.0398273836737,0.0537463147065,-0.0390702459522,33.0307559678,22.1443567824,27.5875563751,0.0690367001962,0.329583712708,0.67324972702,0.626641651032,0.291132768069
K0861,2,0.901248194065,0.263528359547,9.11324845545,0.254562163639,8.95947798516,0.0166466334014,437922.166865,28577.9587915,1.12248626311,0.603239179413,0.593100869148,0.627459399891,0.0331300014881,0.0952514677681,-0.0183817309048,44.9946250706,19.1995944672,32.0971097689,-0.760955803714,0.573291377867,0.966741298259,0.679174484053,0.276925815092
K0861,3,0.801525754375,0.290755254234,9.11324845545,0.254562163639,9.16747380852,0.083374088641,437922.166865,83285.6285108,0.928940527236,0.438491958895,0.63660015908,1.27743060009,0.0414278796552,0.0148618874365,0.109204682644,41.106905786,16.8312797062,28.9690927461,-0.601737609154,0.590548610157,0.76965277919,0.433145009416,0.357157181237
K0861,4,0.551331792347,0.369942519015,9.11324845545,0.254562163639,9.46810016132,0.168329144259,437922.166865,310441.278783,0.562023008649,0.224159196698,0.0827578120258,0.0520739561973,-0.00109845197655,-0.0159278170851,-0.00180318807195,33.1925911376,9.70756694433,21.450079041,-0.624327012305,0.707538139939,0.760852952773,0.582706766917,0.681144875763
K0863,1,0.857748431523,0.209147413731,9.28805357275,0.258299053616,8.95413200951,0.146266224467,815539.964469,48176.9445595,0.991877262946,0.306537392045,0.29117178463,0.0853326523743,3.12696445089e-05,0.00491139241601,0.000392494084991,47.7620176445,25.4324861299,36.5972518872,-0.710325320112,0.46751650403,1.08729228011,0.907859078591,0.236049879998
K0863,2,0.80756515817,0.220321955139,9.28805357275,0.258299053616,9.22213434643,0.0535404157515,815539.964469,86336.6062234,0.89283445852,0.271347111007,0.251874878202,0.293029999414,0.00131158337895,0.0116070437896,-0.0034663051814,45.6493063057,23.4140303563,34.531668331,0.417510548104,0.487089021693,0.661223568764,0.80868385346,0.271070615778
K0863,3,0.682682232955,0.209356749367,9.28805357275,0.258299053616,9.37040530141,0.0504440256784,815539.964469,115472.425766,0.64967993387,0.0870320352747,0.145588451162,0.132901952339,-0.000606132244939,-0.00437227600213,0.000442355872713,37.3158920358,22.8643969222,30.090144479,-0.0233920124108,0.387274545112,0.613108977726,0.998643147897,0.281921025873
K0863,4,0.434184001794,0.23462076676,9.28805357275,0.258299053616,9.60599571582,0.127391993526,815539.964469,565553.98792,0.310280962279,0.0167413272424,0.0307105202814,0.0726669773256,-0.000114067234894,0.00128563351916,6.42518234114e-05,25.45726742,16.3289868732,20.8931271466,-0.00786888395009,0.358572677741,0.641467418163,0.91723202171,0.544729357473
K0867,1,0.745006442425,0.216064007983,9.48989276738,0.272551450306,9.10699309415,0.0545929461526,708708.568763,17286.0367005,0.765190371337,0.05456487662,0.409931983236,1.26914396133,0.000704504341268,0.00844322007242,-0.110746519834,30.8680688744,22.5198923727,26.6939806235,0.32446935051,0.270446996074,0.780210352006,0.352201257862,0.268265863442
K0867,2,0.676855375699,0.304482326627,9.48989276738,0.272551450306,9.40643340569,0.105826165541,708708.568763,99675.1103157,0.701830732293,0.174484393481,0.881549751062,1.46711938773,0.121199484322,0.191062168155,-0.00360907486533,32.6466829889,16.4462702187,24.5464766038,0.199139754888,0.496234572305,0.539903484576,0.90756302521,0.334429922743
