kgal, galname[kgal], Mass_tot[kgal], HLR_elip[kgal], HMR_elip[kgal]
62 K0080 10.8968254756 2369.3832292 1892.07754197
63 K0081 11.0262388771 9140.11903671 6902.96960588
64 K0083 11.115205922 5194.47275632 3195.22772362
65 K0084 10.7509600213 3844.59719926 2548.38129102
66 K0086 10.9599253205 4313.19883385 3316.10813054
67 K0087 11.2130369313 3456.38206476 2936.29659221
68 K0088 10.691627273 5270.30957063 3487.01111306
69 K0089 9.67951451144 2016.31815452 1777.51140199
70 K0090 11.0363291987 2697.1089121 2076.63242065
71 K0091 10.4138639129 1335.5956418 1244.33966409
72 K0092 11.1455041905 3392.11134651 2818.68189004
73 K0093 10.9704770917 4471.24483 3270.63307521
74 K0094 10.9141901665 2488.74162599 1828.00284471
75 K0095 9.66543605846 2357.44501578 2114.85460902
76 K0096 11.3175987498 5641.16995279 4274.31888986
77 K0097 10.8949520581 5890.66722083 4616.37286719
78 K0098 11.0971986852 3245.38850967 2567.04243698
79 K0099 11.2095677875 5044.40297764 4882.61229057
80 K0100 10.3139543318 1168.30038694 946.34609588
81 K0101 11.689018008 4631.68479555 4118.60692888
82 K0102 11.2617114722 3882.58255698 3242.37700725
83 K0103 10.9585501563 2797.73067482 2109.47533556
84 K0105 10.4613475282 4624.36332598 3577.70675393
85 K0107 11.0551054686 4483.17571349 3101.09487138
86 K0108 10.8994552525 4436.22188708 3413.83920194
87 K0109 11.0562256506 5546.33721937 3986.13012816
88 K0110 10.745470762 5709.51391764 4397.07506375
89 K0115 10.7779074749 3964.90093681 2016.71375172
90 K0117 9.88365074307 3071.29868179 2753.39227559
91 K0119 11.4776444366 4992.43326635 5023.64017242
92 K0122 11.0670522413 9030.12184456 5733.41101281
93 K0123 11.1356286366 4581.73032678 3554.32551573
94 K0124 10.7844875619 6066.92921787 4142.91091818
95 K0125 10.3526702095 4418.71544227 3904.50481448
96 K0126 11.3156132785 6230.557491 4946.73415016
97 K0127 11.4048168312 5414.61545181 4098.3373442
98 K0128 10.8992352902 3403.60696329 2961.4040019
99 K0129 10.2882595635 4879.89107226 3833.83938799
100 K0130 10.4919504028 6710.94947352 4283.00806977
101 K0131 10.6952989113 2930.85126204 2282.83870446
102 K0134 11.0165946608 3507.86569486 2646.74426813
103 K0135 11.1238509755 5164.92068639 4337.12126674
104 K0136 10.7417533912 2760.15678078 2060.2575136
105 K0137 10.6843282393 4320.65774236 2651.54456289
106 K0138 10.56414903 2940.19292855 2656.30439677
107 K0139 10.6348437404 1979.43124994 1322.64537157
108 K0140 11.2385300911 4822.98422356 3468.83859105
109 K0141 8.97226094653 2523.23758115 1887.58675365
110 K0142 10.2442823691 3954.82176348 3125.46411101
111 K0143 9.80756641991 1843.71011383 1912.67425047
112 K0144 10.4719616702 4955.0981535 3517.37786864
113 K0147 10.8240186491 3652.53548139 2439.87055962
114 K0149 10.9572001482 4002.90222172 2697.26023031
115 K0150 9.44205620238 2232.63771665 1683.8686556
116 K0151 11.0858183693 4310.76615173 2993.49758277
