index,at-flux,gal_num,ned_name,u-r,re,type_m
316,at_flux__yx,K0846,NGC3153,1.92,17.819999694,-1
321,at_flux__yx,K0851,NGC3179,2.57,5.1479997634,-1
327,at_flux__yx,K0858,NGC3230,2.89,10.692000389,0
328,at_flux__yx,K0859,UGC05642,1.51,11.484000206,-1
329,at_flux__yx,K0860,NGC3237,2.66,7.9200000762,0
333,at_flux__yx,K0864,UGC05695,1.85,13.067999839,-1
334,at_flux__yx,K0865,UGC05693,2.2,12.671999931,0
339,at_flux__yx,K0870,NGC3303,2.7,17.423999786,0
342,at_flux__yx,K0874,NGC3320,1.97,16.236000061,0
343,at_flux__yx,K0875,NGC3332,3.04,16.631999969,0
347,at_flux__yx,K0881,UGC05855,2.35,9.8999996185,-1
348,at_flux__yx,K0883,UGC05859,2.96,7.1279997825,0
353,at_flux__yx,K0888,UGC05924,2.58,9.8999996185,-1
357,at_flux__yx,K0893,NGC3426,2.48,9.8999996185,-1
363,at_flux__yx,K0900,UGC06036,2.75,6.7319998741,-1
366,at_flux__yx,K0903,UGC06063,2.33,9.50399971,-1
373,at_flux__yx,K0911,UGC06176,2.29,6.3359999656,-1
374,at_flux__yx,K0912,NGC3540,2.79,10.692000389,0
377,at_flux__yx,K0916,NGC3547,1.58,13.463999748,0
378,at_flux__yx,K0917,NGC3543,1.9,10.295999527,0
379,at_flux__yx,K0919,UGC06219,2.86,11.088000297,0
380,at_flux__yx,K0923,IC0674,2.56,7.9200000762,-1
411,at_flux__yx,K2707,NGC3683,2.52,15.444000244,-1
413,at_flux__yx,K2780,NGC3687,2.41,16.631999969,0
417,at_flux__yx,K2851,NGC3752,2.02,14.652000427,0
420,at_flux__yx,K2902,NGC3725,2.56,17.027999877,-1
422,at_flux__yx,K3004,UGC06588,2.25,12.671999931,-1
423,at_flux__yx,K3006,NGC3762,2.66,7.9200000762,0
424,at_flux__yx,K3008,NGC3772,2.61,9.8999996185,-1
426,at_flux__yx,K3019,UGC06617,2.62,6.7319998741,0
430,at_flux__yx,K3028,NGC3798,2.45,9.8999996185,0
431,at_flux__yx,K3030,NGC3801,3.02,21.384000778,0
434,at_flux__yx,K3039,NGC3809,2.66,9.50399971,0
435,at_flux__yx,K3040,NGC3811,2.3,17.027999877,-1
